"kingdom","phylum","class","order","family","genus","species","ID_ASV"
"Metazoa","Porifera","Demospongiae","Bubarida","Dictyonellidae","Dictyonella","Bubarida sp. 1 JV-2020","ASV619"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","Plakinastrella","Plakinastrella sp. 1 JV-2020","ASV624"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Niphatidae","Gelliodes","Gelliodes wilsoni","ASV652"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 10 JV-2020","ASV672"
"Metazoa","Porifera","Demospongiae","Chondrillida","unclassified","unclassified","Chondrillida sp. 3 JV-2020","ASV697"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 3 JV-2020","ASV71"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 12 JV-2020","ASV720"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 19 JV-2020","ASV723"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 4 JV-2020","ASV8"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 13 JV-2020","ASV8000"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","unclassified","Chalinidae sp. 2 JV-2020","ASV81"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 7 JV-2020","ASV87"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Cladocroce","Cladocroce sp. 1 JV-2020","ASV91"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Irciniidae","Ircinia","Ircinia sp. 2 JV-2020","ASV95"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria coerulea","ASV10000"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale cecilia","ASV10002"
"Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Chelonaplysilla","Chelonaplysilla erecta","ASV10012"
"Metazoa","Porifera","Demospongiae","Biemnida","Biemnidae","Sigmaxinella","Sigmaxinella hipposiderus","ASV10016"
"Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Dendrilla","Dendrilla sp. FAR-2016","ASV10025"
"Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","Protosuberites","Protosuberites denhartogi","ASV10035"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","Plakortis","Plakortis sp. 1 JV-2020","ASV10052"
"Metazoa","Porifera","Demospongiae","Tetractinellida","Tetillidae","Cinachyra","Cinachyra sp. CJ-2016","ASV10076"
"Metazoa","Porifera",NA,"Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 2 JV-2020","ASV20000"
"Metazoa","Porifera",NA,"Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 4 JV-2020","ASV20001"
"Metazoa","Porifera",NA,"Poecilosclerida","Coelosphaeridae","Lissodendoryx","Lissodendoryx sp. 2 JV-2020","ASV20002"
"Metazoa","Porifera",NA,"Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 1 JV-2020","ASV20003"
"Metazoa","Porifera",NA,"Leucosolenida","unclassified","unclassified","Leucosolenida sp. 2 JV-2020","ASV20004"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 1 JV-2020","ASV20005"
"Metazoa","Porifera",NA,"Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 3 JV-2020","ASV20006"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 3 JV-2020","ASV20007"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 6 JV-2020","ASV20008"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 7 JV-2020","ASV20009"
"Metazoa","Porifera",NA,"Tetractinellida","Ancorinidae","unclassified","Stelletta sp. 3","ASV20010"
"Metazoa","Porifera",NA,"Tethyida","Tethyidae","Tethya","Tethya sp. 2 JV-2020","ASV20011"
"Metazoa","Porifera",NA,"Tethyida","Tethyidae","Tethya","Tethya sp. 4 JV-2020","ASV20012"
"Metazoa","Porifera",NA,"Suberitida","Suberitidae","unclassified","Suberitidae sp. 4 JV-2020","ASV20013"
"Metazoa","Porifera",NA,"Suberitida","Suberitidae","unclassified","Suberitidae sp. 5 JV-2020","ASV20014"
"Metazoa","Porifera",NA,"Suberitida","Suberitida incertae sedis","Terpios","Terpios sp. 1 JV-2020","ASV20015"
"Metazoa","Porifera",NA,"unclassified","unclassified","Verongimorpha","Verongimorpha sp. 1 JV-2020","ASV20016"
"Metazoa","Porifera",NA,"Leucosolenida","unclassified","unclassified","Leucosolenida sp. 9 JV-2020","ASV20017"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 21","ASV20018"
"Metazoa","Porifera",NA,"Haplosclerida","Chalinidae","Haliclona","Haliclona (Soestella) caerulea","ASV20019"
"Metazoa","Porifera",NA,"Dictyoceratida","Dysideidae","Dysidea","Dysidea cf. arenaria cf. JV-2020","ASV20020"
"Metazoa","Porifera",NA,"Poecilosclerida","Mycalidae","Mycale","Mycale parishii","ASV20021"
"Metazoa","Porifera",NA,"Suberitida","Suberitidae","unclassified","Suberitidae sp. 6 JV-2020","ASV20022"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 15 JV-2020","ASV20023"
"Metazoa","Porifera",NA,"Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 11 JV-2020","ASV20024"
"Metazoa","Porifera",NA,"Poecilosclerida","Mycalidae","Mycale","Mycale sp. 15 JV-2020","ASV20025"
"Metazoa","Porifera",NA,"Poecilosclerida","Iotrochotidae","Iotrochota","Iotrochota protea","ASV20026"
"Metazoa","Porifera",NA,"Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 6 JV-2020","ASV20027"
"Metazoa","Porifera",NA,"Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 12 JV-2020","ASV20028"
"Metazoa","Porifera",NA,"Axinellida","Raspailiidae","unclassified","Raspailiidae sp. 2 JV-2020","ASV20029"
"Metazoa","Porifera",NA,"Tethyida","Tethyidae","Tethya","Tethya sp. 1 JV-2020","ASV20030"
"Metazoa","Porifera",NA,"Dictyoceratida","unclassified","unclassified","Dictyoceratida sp. 5 JV-2020","ASV20031"
"Metazoa","Porifera",NA,"Dictyoceratida","unclassified","unclassified","Dictyoceratida sp. 6 JV-2020","ASV20032"
"Metazoa","Porifera",NA,"Dictyoceratida","unclassified","unclassified","Dictyoceratida sp. 2 JV-2020","ASV20033"
"Metazoa","Porifera",NA,"Dictyoceratida","Dysideidae","Dysidea","Dysidea sp. 6 JV-2020","ASV20034"
"Metazoa","Porifera",NA,"Dictyoceratida","Dysideidae","Lamellodysidea","Lamellodysidea cf. chlorea JV-2020","ASV20035"
"Metazoa","Porifera",NA,"Dictyoceratida","Dysideidae","Dysidea","Dysidea sp. 9 JV-2020","ASV20036"
"Metazoa","Porifera",NA,"Chondrosiida","unclassified","unclassified","Chondrosiida sp. 1 JV-2020","ASV20037"
"Metazoa","Porifera",NA,"Verongiida","Pseudoceratinidae","Pseudoceratina","Pseudoceratina sp. 1 JV-2020","ASV20038"
"Metazoa","Porifera",NA,"Clathrinida","Lecuettidae","unclassified","Leucettidae sp. 3 JV-2020","ASV20039"
"Metazoa","Porifera",NA,"Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 11 JV-2020","ASV20040"
"Metazoa","Porifera",NA,"Leucosolenida","unclassified","unclassified","Leucosolenida sp. 20 JV-2020","ASV20041"
"Metazoa","Porifera",NA,"Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 7 JV-2020","ASV20042"
"Metazoa","Porifera",NA,"Homosclerophorida","Plakinidae","Corticium","Corticium sp. 1 JV-2020","ASV20043"
"Metazoa","Porifera",NA,"Suberitida","Suberitidae","unclassified","Suberitida sp. 4 JV-2020","ASV20044"
